funnel,asset_id,criterion,current_state,score_1_5,issue,recommendation,priority,owner,status
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Compliance/disclaimer,"Has a disclaimer and a PDPA consent line, but no CEA licence number or registered salesperson name anywhere; contains the flagged risk line 'This is advisory, not agency'; PDPA consent names Legacy Launch as the collecting entity while the footer copyright names Singapore Real Estate Insider - two different non-legal-entity names, neither the founders'/REI Method's registered name",1,"Three compliance defects stacked on one page: missing CEA block, a compliance-risk positioning line, and an entity-name mismatch in the PDPA consent versus footer - highest-priority fix in the entire audit","(1) Add the CEA-mandated block (registered name(s), CEA reg no.(s), PropNex licence no.) [VERIFY exact numbers per Master Brief Q1]; (2) replace 'This is advisory, not agency' with 'Advisory-first. We plan the sequence before any transaction.' per D7; (3) unify consent and footer to name The REI Method (or Coach Edmund Tan & Cindior Ho, trading as The REI Method) as the data controller, keeping Legacy Launch as campaign name only and Singapore Real Estate Insider as media-brand mention only",P0,Compliance/PropNex Liaison,Open - Pre-Launch
Legacy Launch V2,ILuFW2Qv6l9UIXk6lUIM,Domain placement,"No domain attached; internal guide already suggests legacylaunch.com.sg, matching D3",2,Right target already identified; execution pending - this is the single biggest unblocking action for the whole funnel,Attach legacylaunch.com.sg now; this is the top First-5-Actions item since the user has directed V2 to ship first,P0,Ops/Edmund (GHL Admin),Open - Pre-Launch
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Offer clarity,"Extremely well-specified on paper: 14-question gamified scored diagnostic, hook 'Start the Climb', result reveal 'Reveal My Step!'",4,"Not yet a live offer; clarity exists only in spec form, unvalidated with real users",Build MVP and user-test the flow before mass ad spend directs traffic to it,P1,Founder (Edmund/Cindior),Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Audience clarity,Spec encodes the Mechanism v1.3 buyer filter via 4 silent Gates (G1-G4) feeding lead grades A/B/P/C,4,Exact Gate question wording not yet confirmed as matching income/capacity/ownership/age filter precisely,Confirm G1-G4 wording encodes the hard filter exactly as locked in Mechanism v1.3 before build; do not soften during build,P1,Founder (Edmund/Cindior),Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Category alignment,"The only asset in the ecosystem using full locked SPL vocabulary by design (Steps, Position Map, Direction Statement, Move Sequence, Selection Research, Climb Cadence)",5,None - highest category-alignment asset possible; risk is only in execution if a no-code builder substitutes generic quiz-tool language,"Build from the clean Diagnostic build doc v1.0, not the corrupted BUILD_PROMPT file; protect vocabulary purity during build QA",P0,Dev/No-Code Builder,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Search visibility,"Zero, not built; domain secondpropertyladder.com already owned and earmarked per D3",1,None yet - correctly planned as noindexed funnel with one indexable bridge page,"Build the bridge page in the same sprint as the diagnostic engine, not as a later add-on",P1,Ops/Edmund (GHL Admin),Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,AEO readiness,"Strongest planned AEO asset in the ecosystem - a genuinely interactive, answer-complete tool rather than a doorway page",4,Needs the bridge page plus eligible structured data to actually earn citations; none exists yet,Pair with the 04 and 05 docs for bridge-page schema spec; do not launch without the bridge page,P1,Ops/Edmund (GHL Admin),Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Proof strength,"Spec does not yet embed founder proof assets (Tre Ver/Parc Clematis stats, 'We built it before we advised it') into result-reveal screens",2,Risk of shipping a mechanically strong diagnostic that under-leverages proof at the moment of highest attention,"Add one proof stat plus one video thumbnail into every result-reveal screen, keyed to the buyer's Step result",P2,Copywriter/Edmund,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,CTA strength,"'Start the Climb' and 'Reveal My Step!' are strong, on-brand, gamified CTAs already spec'd",4,Terminal CTA after result reveal not fully specified - must resolve into the Position Map session booking and this hand-off copy is not yet written,Spec and write the post-result CTA explicitly as 'Book Your Position Map Session' tied to lead-grade branching,P1,Copywriter/Edmund,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Form fields,Contact-capture step exists in spec (capture_viewed/capture_submitted events named) but exact fields beyond name/contact not detailed,3,Unclear if an explicit WhatsApp-capable mobile field and PDPA consent checkbox are specified,"Confirm contact capture includes name, email, WhatsApp-capable mobile, and an explicit PDPA consent checkbox with the corrected entity name",P1,Dev/No-Code Builder,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Qualification logic,"Strongest qualification logic in the ecosystem by design: 4 silent Gates plus 10 scored Checkpoints producing Step result (1-6), Readiness Band, and Lead Grade (A/B/P/C)",5,"None conceptually; execution risk only, since scoring thresholds must be tuned post-launch against real conversion data",Instrument all 9 named analytics events from day one to enable threshold tuning after launch,P1,Dev/No-Code Builder,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,CRM handoff,Hard blocker: none of the required spl_* custom fields exist in GHL yet (verified - no spl_* fields exist),1,The diagnostic cannot go live without its CRM fields; lead grade/step/band data has nowhere to land and the single master workflow spec'd in Report 1 cannot be built,"Create the full spl_* field set now (spl_step_result, spl_total_score, spl_band, spl_lead_grade, spl_gate_g1-g4, spl_c1-spl_c10) as a prerequisite task, independent of and before the diagnostic UI build",P0,Ops/Edmund (GHL Admin),Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Tracking,"9 analytics events already named/spec'd (quiz_start, question_answered, levelup_viewed, capture_viewed, capture_submitted, analysis_started, result_viewed, cta_clicked, share_clicked)",4,"Needs a GA4/Meta Pixel binding plan and a decision on the single webhook target (GHL native workflow webhook per spec, not Make.com, to avoid a second point of failure)",Confirm GHL workflow webhook as the single scoring payload target; wire GA4 events in parallel during build,P1,Dev/No-Code Builder,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Retargeting,None yet; but the multi-step quiz structure is naturally suited to funnel-stage retargeting,2,No plan yet documented for a quiz-abandoners retargeting audience,Build a Meta custom audience of quiz_start without result_viewed once the pixel is live - a high-value warm segment,P2,Ops/Edmund (GHL Admin),Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Follow-up sequence,Not built; lead grades A/B/P/C are the correct skeleton for grade-based follow-up but no sequence content or timing written yet,1,"Pure build gap, no conceptual issue","Write and load the 4-grade WhatsApp+email sequences before launch, not after - see Follow-Up Sequence Strategy section",P1,Copywriter/Edmund,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Compliance/disclaimer,"PDPA consent required per spec but exact consent copy/entity name not yet drafted; no disclaimer yet for the scored Step result, which could read as a professional assessment if not framed as illustrative",2,"Must avoid repeating V2's entity-naming mistake and must frame the Step result as a directional self-assessment, not advice; the diagnostic advertises the advisory service so the CEA block obligation applies to it too","Draft PDPA consent, disclaimer, and CEA block copy now, before UI build, naming the correct legal entity consistently; do not reuse V2's flawed consent copy",P0,Compliance/PropNex Liaison,Not Started
Which Step Are You On? Diagnostic,NOT_BUILT-spl_diagnostic,Domain placement,"Correctly planned for secondpropertyladder.com per D3; domain owned, currently unused",3,None conceptually - plan matches locked domain architecture; execution pending,"Attach domain concurrent with build; implement noindex plus bridge page from day one, not as later cleanup",P1,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Offer clarity,"Named in 11 L1 reel scripts ('Exit-Trap Checklist' and a short free training) as the soft CTA, but neither asset exists in any form",1,"Every L1 reel currently promises a lead magnet that cannot be delivered, or silently redirects cold traffic into V2's high-commitment strategy-call offer - a cold-to-hot mismatch",Build a genuine low-commitment PDF/one-pager Exit-Trap Checklist (5-7 items drawn from Selection Research/Exit Before Entry content) as the true L1 asset,P0,Copywriter/Edmund,Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Audience clarity,"Intended for L1 Problem-Aware, colder, broader top-of-funnel viewers not yet screened against the buyer filter, by design",3,None conceptually - this asset is meant to be broad; qualification happens downstream,Keep deliberately unqualified/broad; do not add screening questions here,P2,Copywriter/Edmund,Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Category alignment,Reel scripts referencing this magnet are pre-SPL vocabulary (New Launch Ladder era; no Second Property Ladder or Exit Before Entry terms per the Report 3 vocabulary check),2,"If built verbatim to the old scripts, the magnet would launch already out of step with the newly locked Mechanism v1.3 vocabulary","Build the checklist using current locked vocabulary (Exit Before Entry, Selection Research) even though the reels themselves are not being rewritten yet - new assets use SPL vocabulary from day 1 per D5",P1,Copywriter/Edmund,Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Search visibility,"None, does not exist",1,"A well-built checklist page could be a legitimate indexable, AEO-friendly asset - currently a missed opportunity, not just a funnel gap","Host the checklist opt-in on thereimethod.com (authority domain per D2) as a real content asset with its own indexable page, rather than another noindexed funnel step",P2,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,AEO readiness,"None, does not exist",1,This is the best-suited asset in the ecosystem to be a genuinely citable indexed page (a real answer for how-to-avoid-an-exit-trap style queries),"Write it as real published content with an optional deeper-gated version, satisfying D8's answer-complete standard rather than a pure doorway gate",P2,Copywriter/Edmund,Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Proof strength,"None built; surrounding reel scripts use the general claims bank (Tre Ver, Parc Clematis, NAV, sub-$600K HDB origin) as context only",1,None conceptually,Include one proof stat plus the 'We built it before we advised it' line on the checklist's cover or thank-you page,P2,Copywriter/Edmund,Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,CTA strength,"Reel scripts imply a soft comment-to-DM style CTA, but the exact mechanism for this specific magnet is not fully detailed",2,Soft-CTA mechanics (comment-keyword vs bio link vs direct form) not standardised for L1 specifically,Standardise on the same comment-keyword-to-DM mechanism used in L2 (LADDER/EXIT/LOOP/MATH/HERD) for consistency and a single automation build,P1,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Form fields,None exist,1,"None conceptually - a low-friction magnet should stay to name + email (+ optional WhatsApp), no qualification fields here","Keep to 2-3 fields max; do not ask income/capacity on this asset - that trade-off belongs to the high-intent V2/diagnostic assets, not a cold-traffic freebie",P2,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Qualification logic,"None needed by design - this asset sits above the diagnostic in the funnel, pre-qualification",3,"Correct-by-design absence, but must be explicitly sequenced so it does not dead-end","Route every checklist download into the diagnostic as the very next step, not directly to a booking calendar",P1,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,CRM handoff,"None built; no tag, field, or workflow exists",1,"Without this magnet, the widest part of the funnel (L1 cold reel traffic) currently leaks entirely with no CRM capture point",Create a tag (lead-magnet-exit-trap) plus a one-step workflow that delivers the PDF and immediately invites the contact to take the diagnostic once it is built,P1,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Tracking,None,1,Cannot assess without the asset existing,Cover this landing page in the same Meta Pixel/GA4 build being done for V2 (do not build tracking twice),P2,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Retargeting,None,1,None conceptually until the asset and its tracking exist,"Once live, build a retargeting segment of checklist downloaders who have not taken the diagnostic within 7 days",P2,Ops/Edmund (GHL Admin),Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Follow-up sequence,None,1,None conceptually until the asset exists,Light 2-3 touch nurture inviting the diagnostic; do not push straight to a booking CTA from this cold an asset,P2,Copywriter/Edmund,Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Compliance/disclaimer,None exists; but any figures quoted from the claims bank inside the checklist would need correct [VERIFY] captioning,1,Same entity-naming and CEA-block risk applies to any new PDPA-collecting page built for this asset,"Reuse the same corrected consent/CEA-block template being fixed for V2; do not draft a third, different version",P1,Compliance/PropNex Liaison,Not Started
Missing Lead Magnets,NOT_BUILT-exit_trap_checklist,Domain placement,None exists; no domain assigned,1,None conceptually,"Host on thereimethod.com (authority domain per D2) as an indexable evergreen content asset, not on a campaign vanity domain",P1,Ops/Edmund (GHL Admin),Not Started
