proof_id,type,category,asset_name,claim_or_story,confidence_flag,verification_needed,consent_needed,used_on_pages,used_in_funnels,used_on_social,priority,status
PL-024,case study,Exit Before Entry,"[GAP] dedicated Exit Before Entry demonstration case","No client case exists that specifically shows Selection Research changing the property choice pre-purchase (distinct from Edward & Rose, which is consequence-focused)","UNTESTED","Yes — source a client where exit research changed the actual project/unit choice","Yes (once sourced)","(placeholder) thereimethod.com/case-studies/exit-before-entry; also feeds Exit Before Entry pillar proof block","None yet","None yet","P0","PROOF GAP — this is the category law itself; the gap here is the highest-visibility risk in the library"
PL-025,review,Review Collection,"Review theme — 'Told me not to buy'","Disqualification honesty; neutralises the agent-distrust objection (EDMW pain point)","UNTESTED","Yes — must be a genuine, unscripted client review, never drafted for them","Yes","thereimethod.com/reviews; thereimethod.com/second-property-ladder trust strip","Position Map session post-session review ask (to build)","GBP; IG highlight","P0","Not collected — add to post-session follow-up SOP"
PL-026,review,Review Collection,"Review theme — 'Found the problem before I signed'","Direct proof of Exit Before Entry in a client's own words","UNTESTED","Yes — genuine review only","Yes","thereimethod.com/reviews; thereimethod.com/second-property-ladder","Position Map session follow-up (to build)","GBP","P0","Not collected"
PL-027,review,Review Collection,"Review theme — 'Nearly bought the wrong one'","Neutralises Missed Window/regret fear","UNTESTED","Yes — genuine review only","Yes","thereimethod.com/reviews","Blueprint follow-up (to build)","GBP; IG","P1","Not collected"
PL-028,review,Review Collection,"Review theme — 'Felt like planning, not selling'","Neutralises agent-led-transaction distrust; supports 'advisory-first' repositioning","UNTESTED","Yes — genuine review only","Yes","thereimethod.com/reviews; thereimethod.com/position-map-session","Position Map session follow-up (to build)","GBP","P1","Not collected"
PL-029,review,Review Collection,"Review theme — 'The numbers matched what actually happened'","Validates Position Map accuracy over time","UNTESTED","Yes — genuine review only, ideally collected 12+ months after the session","Yes","thereimethod.com/reviews; thereimethod.com/blueprint","Climb Cadence annual review follow-up (to build)","GBP","P1","Not collected — earliest available at first annual review cycle"
PL-030,media proof,Media Presence,"YouTube channel Singapore Real Estate Insider","600+ videos, 2,000+ subscribers per current funnel copy","INFERRED","Yes — re-pull current counts from YouTube Studio before each reuse","No","thereimethod.com/second-property-ladder media proof block; guide-page video embeds","None direct","YouTube","P0","Counts are copy-quoted, not freshly pulled — likely stale by publish date"
PL-031,media proof,Media Presence,"Google Business Profile reviews and rating","Count and rating unknown behind share.google/bpyWTGgjlyNxt8Xiz","UNTESTED","Yes — audit the live GBP listing directly","No","GBP listing; thereimethod.com/reviews cross-link","None","GBP","P0","Blocking [VERIFY] — see 08_GOOGLE_BUSINESS_PROFILE_PLAN.md"
PL-032,media proof,Media Presence,"Press/media features, interviews, awards","No evidence of any media coverage beyond the owned YouTube channel in any document reviewed","UNTESTED","Yes — confirm with founders whether any exist; do not claim media coverage otherwise","No","Not applicable","Not applicable","Not applicable","P2","GAP — no known assets; flag as a future authority-building target, not current proof"
PL-033,market research proof,Market Research,"EDMW/HardwareZone buyer-regret threads","Verified 8 July 2026 research read of public forum threads; confirms sequencing/timing regret pattern among Singapore upgraders","VERIFIED","Retain source thread links/screenshots on file for citation","No — public forum content, used in aggregate/anonymised form","One-Property Trap pillar; market-research proof page","Top-of-funnel content nurture","Blog/website; social pull-quotes","P1","Ready to cite with a method note"
PL-034,market research proof,Market Research,"Stacked Homes editorial findings","Verified 8 July 2026 research on buyer-language and pain points","VERIFIED","Retain article URLs and publish dates for citation","No","One-Property Trap pillar; market-research proof page","Top-of-funnel content nurture","Blog/website","P1","Ready to cite with a method note"
PL-035,market research proof,Market Research,"ERA/PropNex editorial buyer-desire stat","'Own at least two properties — one as a home, the other to generate cashflow' — verified 8 July 2026","VERIFIED","Retain source URL and date","No","thereimethod.com/second-property-ladder (belief validation section)","None direct","Blog/website","P1","Ready to cite with a method note"
PL-036,market research proof,Market Research,"URA price index: private new-launch +111.64% vs HDB +52.72% (2015-2025)","Cited in CategoryKing strategy docs; not yet re-pulled from primary source","INFERRED","Yes — re-pull from URA REALIS/URA.gov.sg, confirm exact date range and index basis","No","Legacy Launch bridge page; market-stats proof page","Legacy Launch V2 (indirect support for New Launch Ladder positioning)","None currently","P0","High compliance exposure (used adjacent to cold-ad claims) — must re-verify before public reuse; date-stamp per D7"
PL-037,market research proof,Market Research,"ABSD dollar example: $300k tax on a $1.5M second property (20% citizen rate)","Regulatory worked example used in Step 2 (Direction Statement) education content","INFERRED","Yes — confirm current IRAS ABSD rate table; rates change with cooling measures","No","Step 2 Direction Statement guide; ABSD explainer page","None direct","None","P0","Regulatory content — date-stamp and place on the quarterly rate-check cadence (D7)"
PL-038,market research proof,Market Research,"CPF accrued interest 2.5%/year compounding example","Used in Step 1 (Position Map) education content to explain true nett proceeds","INFERRED","Yes — confirm current CPF Ordinary Account interest rate assumption","No","Step 1 Position Map guide","None direct","None","P0","Regulatory/rate content — date-stamp and place on the quarterly rate-check cadence (D7)"
PL-039,process proof,Process Transparency,"90% disqualification rate","Live Legacy Launch V2 trust stat describing the qualification process itself","INFERRED","Yes — confirm against actual disqualified-vs-Won ratio in the 1-To-1 Pipeline (GHL)","No","Legacy Launch bridge page; category hub trust strip","Legacy Launch V2 (live); Legacy Launch (live)","None currently","P0","Precise business claim — needs a CRM audit before continued public use"
PL-040,process proof,Process Transparency,"Position Map artefact (redacted sample output)","Step 1 deliverable format — real numbers, defendable value, nett proceeds, CPF, loan capacity","PROVEN (format is locked IP)","Yes, if built from a real client file — requires a genuinely redacted, consented sample","Yes — if built from real (even redacted) client numbers","thereimethod.com/position-map-session; Step 1 cluster page","Position Map session; Blueprint","None yet","P0","Format locked; a real redacted sample has not yet been built"
PL-041,process proof,Process Transparency,"Move Sequence artefact ('the order is the product')","Step 3 signature deliverable — ordered move-list using age/loan/income/tenure/time leverage","PROVEN (format is locked IP)","Yes, if built from a real client file","Yes — if real client data used","Step 3 cluster page; thereimethod.com/blueprint","Blueprint","None yet","P0","Sample not yet built"
PL-042,process proof,Process Transparency,"Selection Research / Exit Before Entry artefact","Step 4 deliverable — exit buyer, price, buyer pool, rentability researched before entry","PROVEN (format is locked IP)","Yes, if built from a real client file","Yes — if real client data used","Step 4 cluster page; Exit Before Entry pillar","Blueprint","None yet","P0","Sample not yet built"
PL-043,process proof,Process Transparency,"Climb Cadence review process (annual)","Step 5 deliverable — monitored, repeatable climb review","PROVEN (format is locked IP)","No structural verification needed; real testimonial pending first full cycle","Yes (future, once a client testimonial exists)","Step 5 cluster page","Climb Review (annual offer)","None yet","P2","No client has completed a full annual cycle yet — earliest genuine proof is 12 months out"
PL-044,process proof,Process Transparency,"Which Step Are You On?™ diagnostic (14-question scoring engine)","Gamified lead-gen diagnostic operationalising the 5 Steps; scored Gates G1-G4 + Checkpoints C1-C10","INFERRED (spec complete, unbuilt/untested)","Yes — build, then validate scoring bands against real respondent behaviour","Yes — PDPA consent on the capture form per spec","secondpropertyladder.com bridge page; category hub CTA","Diagnostic funnel (to build)","IG/FB ad entry point (planned)","P0","NOT BUILT — spec exists; `spl_*` custom fields not yet created in GHL"
PL-045,framework proof,Framework/IP,"The Second Property Ladder™ 5-Step system","Locked IP — Position Map, Direction Statement, Move Sequence, Selection Research, Climb Cadence","PROVEN","None — definitional, Rank 2 Mechanism v1.3 document","No","thereimethod.com/second-property-ladder (category hub)","All offers reference this structure","All channels","P0","Ready to use as written"
PL-046,framework proof,Framework/IP,"Exit Before Entry™ category law","Locked IP — elevated from Step 4, the category's central rule","PROVEN","None — definitional","No","Exit Before Entry pillar page","Blueprint; Legacy Launch (as New Launch Ladder application)","All channels","P0","Ready to use as written"
PL-047,framework proof,Framework/IP,"The One-Property Trap villain framework (+5 supporting villains)","Locked IP — Buy-To-Stay Thinking, Agent-Led Transaction Thinking, The Just-Buy-Second Myth, Exit-Later Buying, Project-First Advice","PROVEN","None — definitional","No","One-Property Trap pillar page","Top-of-funnel content","All channels","P0","Ready to use as written"
PL-048,framework proof,Framework/IP,"IP Framework Guide methodology (meta-method)","Rank 5 internal SOP describing how the framework itself was constructed — proof of rigor, not for verbatim public reuse","PROVEN (document exists)","None required for internal use; do not publish verbatim","No","Internal only; optional 'how we built this' authority post (not yet planned)","None","None","P2","Internal document — low publish priority as-is"
PL-049,authority proof,Founder Authority,"PropNex CEA registration and licence numbers (Edmund Tan & Cindior Ho)","Required compliance disclosure for all public advertising under CEA guidelines","UNTESTED","Yes — obtain from the CEA public register / PropNex compliance before any public page or ad goes live","No","Footer of every page; all ad creative; GBP listing","Every funnel footer","Every channel","P0","BLOCKING — no public page or ad may launch without this per D7"
PL-050,authority proof,Founder Authority,"Dual-founder authority bios (Edmund Tan & Cindior Ho)","Roles, tenure, and positioning as co-founders of The REI Method","INFERRED","Yes — confirm exact join date and role split between founders","No","thereimethod.com/edmund-tan; thereimethod.com/cindior-ho","None direct","IG; FB; YouTube","P0","Cindior's public-presence level is an open item per Master Context Brief D6"
PL-051,authority proof,Founder Authority,"'Advising since 2019' tenure claim","Used to establish years-active authority","INFERRED","Yes — confirm start date against first transaction or CEA registration date","No","Founder bio pages","None direct","None","P1","Needs date confirmation"
PL-052,authority proof,Founder Authority,"Speaking engagements, awards, media features","No evidence of any in documents reviewed","UNTESTED","Yes — confirm with founders whether any exist; do not claim otherwise","No","Not applicable","Not applicable","Not applicable","P2","GAP — no known assets; future authority-building target only"
