platform,item,current_state,new_value,depends_on,week,owner,status,notes
LinkedIn,Edmund — headline (220-char),Unknown/absent,See Profile Rewrite Pack — 129-char template,CEA reg number [VERIFY],2,Edmund,pending,"Placeholder until number confirmed, do not leave blank live"
LinkedIn,Edmund — About section,Unknown/absent,See §1.5 About template,CEA reg number [VERIFY],2,Edmund,pending,""
LinkedIn,Cindior — profile existence,[OPEN — unknown per master brief Q4],Confirm existing or create new personal profile,Direct confirmation from Cindior,1,Cindior,open,"Blocks all other Cindior LinkedIn rows"
LinkedIn,Cindior — headline (220-char),Unknown/absent,See Profile Rewrite Pack — 129-char template (name substituted),Cindior profile status confirmed,4,Cindior,pending,""
LinkedIn,Cindior — About section,Unknown/absent,See §1.5 About template (name substituted),Cindior profile status confirmed,4,Cindior,pending,""
LinkedIn,Company Page — existence,Not confirmed to exist,Create "The REI Method" Company Page,At least one founder personal profile live,5,Edmund,pending,"LinkedIn requires an admin personal profile to create a Company Page"
LinkedIn,Company Page — tagline (120-char),N/A,See Profile Rewrite Pack tagline,Company Page created,5,Edmund,pending,""
LinkedIn,Company Page — About,N/A,Adapted from Facebook About block,Company Page created,5,Edmund,pending,""
LinkedIn,Profile photos (personal),Unknown,"Individual professional headshots, navy/neutral backdrop, brand-consistent",Photo shoot,4,Edmund + Cindior,pending,"Solo headshots per LinkedIn convention, not co-founder duo shot"
TikTok,Handle reservation,Not confirmed to exist,"Reserve @coachedmundtan (or final IG handle) defensively, no content",IG handle decision,2,Edmund,pending,"Name-squat only — do not activate content in first 90 days"
Threads,Handle reservation,Not confirmed to exist,"Reserve same handle defensively, no content",IG handle decision,2,Edmund,pending,"Revisit activation at 12-month mark, not in this phase"
All platforms,CEA/PropNex disclosure block,Absent or inconsistent,Standard disclosure block (§2) rolled out everywhere,CEA reg numbers + PropNex licence no. [VERIFY],4,Edmund + Cindior,blocked,"Hard compliance gate — do not publish with placeholders still blank on any CTA-bearing surface"
All platforms + funnel,"""Advisory, not agency"" line",Present in Legacy Launch V2 funnel subhead and likely in bios,Replace with "Advisory-first. We plan the sequence before any transaction.",none,1,Edmund,pending,"D7 compliance risk — highest-priority text swap, no dependency"
Cross-platform,sameAs / entity cross-link pass,"Profiles not mutually cross-linked, fragmented entity graph","Every node (site, FB, IG, YouTube, LinkedIn, GBP) links to every other node + schema markup",02_ENTITY_ARCHITECTURE.md finalised,10,Edmund,pending,"Do the linking once, after schema recommendations are final — avoid duplicate work"
Website,/links page,Does not exist,Build per §5 structure on thereimethod.com,thereimethod.com live with homepage + category hub,7,Edmund,pending,"Gates all final bio-link repointing across every platform"
Cross-platform,Handle-rename announcement post,N/A,"""Same team, clearer name"" post, same day across FB/IG/YouTube/LinkedIn",Instagram handle rename executed,7,Edmund + Cindior,pending,"Prevents follower confusion/unfollow risk from unexplained rename"
Cross-platform,Diagnostic CTA link swap,Pinned Post 3 + end-screens point to Position Map booking (interim),Swap to "Which Step Are You On?" diagnostic link,Diagnostic build complete (not yet built per master brief),TBD,Edmund,blocked,"Cannot execute until diagnostic exists — tracked so it isn't forgotten once built"
All platforms,Co-founder photo shoot,Not scheduled,"Commission single primary asset: Edmund + Cindior together, navy backdrop",Cindior availability/consent,1,Edmund + Cindior,pending,"Blocks profile-photo and banner rollout rows above — schedule this week"
