FrameworkID,Name,Family,Purpose,BestUse,AwarenessStage,Channels,Inputs,EvidenceTier,Status,SourcePath,CampaignsUsing,LastReview
FR-11,Deep Buyer Profile Method,Content,"Master-prompt method for building psychological/decision-style deep buyer profiles used to prep consults and write buyer-accurate content","Pre-campaign audience research; consult prep; buyer-language accuracy check",N/A (research method, not stage-specific),Cross-channel (research input),"Buyer interview/consult data; decision-style questions","N/A (method, not a performance claim)","DRAFT - pending .md conversion (content is .docx-only, C17 duplicate-location issue)",00_AI_OPERATING_SYSTEM\06_KNOWLEDGE_VAULT\02_BUYER_PSYCHOLOGY\DEEP_BUYER_PROFILE_METHOD_REGISTRY.md,None,2026-07-11
FR-12,PAS (Problem-Agitate-Solution),Copy,"Generic 3-part copy structure: state the problem, agitate the cost of inaction, present the solution","Short ad copy; email; any format needing a fast problem-to-solution arc",PA/SA,Any channel,"Problem statement; agitation detail; solution/offer",Tier 4 (generic industry structure; not sourced from a workspace file),"Available, unproven here","N/A - generic industry structure; ECOS build mandate archived at 10_MARKETING_OS\99_ARCHIVE\ECOS_BUILD_MANDATE_2026-07-11.md",None,2026-07-11
FR-13,AIDA (Attention-Interest-Desire-Action),Copy,Generic 4-part attention-to-action copy structure,Any ad or landing page needing a classic linear structure,PA -> SA -> PA2,Any channel,"Attention hook; interest detail; desire build; action/CTA",Tier 4 (generic industry structure; not sourced from a workspace file),"Available, unproven here","N/A - generic industry structure; see ECOS build mandate in 99_ARCHIVE",None,2026-07-11
FR-14,Myth to Reframe,Content/Copy,"Generic structure: state a common myth/belief, disprove it, install the correct frame","Myth-bust content; authority-building video/carousel; FAQ content",PA/SA,"YouTube; carousel; email; ad","Named myth; evidence against it; correct frame; proof",Tier 4 (generic industry structure; not sourced from a workspace file),"Available, unproven here","N/A - generic industry structure; see ECOS build mandate in 99_ARCHIVE",None,2026-07-11
FR-15,Before-After-Bridge (BAB),Copy,"Generic 3-part structure: current painful state, desired future state, the bridge (offer) that connects them","Short ad copy; email; testimonial-style content",PA/SA,Any channel,"Before state; after state; bridge/offer",Tier 4 (generic industry structure; not sourced from a workspace file),"Available, unproven here","N/A - generic industry structure; see ECOS build mandate in 99_ARCHIVE",None,2026-07-11
FR-16,4 Ps (Promise-Picture-Proof-Push),Copy,"Generic 4-part structure: make a promise, paint the picture of the outcome, prove it, push for action","Sales-letter-style long copy; VSL script backbone",SA/PA2,"VSL; long-form ad; email","Promise statement; outcome picture; proof; CTA push",Tier 4 (generic industry structure; not sourced from a workspace file),"Available, unproven here","N/A - generic industry structure; see ECOS build mandate in 99_ARCHIVE",None,2026-07-11
FR-17,Pre-Event Nurture Email Sequence,Email,"Post-scorecard lead nurture email sequence architecture with subject-line formula, feeding toward the 3-Day event application","Warm lead nurture after a free-diagnostic opt-in",SA -> PA2,"Email; GHL automation","Lead source tag; sequence timing; subject-line formula; proof/value content per email",Tier 5,"STALE (C05) - usable skeleton only, pending re-verification",00_AI_OPERATING_SYSTEM\04_AGENT_EDITION_OS\02_MARKETING\MAS_MARKETING_INTELLIGENCE_OS_v1.md,None,2026-07-11
FR-18,MAS Design Intelligence and Visual Hierarchy Rules,Creative,"Visual hierarchy, typography, colour system, and mobile-first rules for all Agent Edition production assets","Landing pages; ad creative; presentation decks",N/A (production standard, not stage-specific),"Landing pages; static ads; decks","Colour tokens; typography scale; mobile-first checklist",Tier 5,"STALE (C05) - usable skeleton only, pending re-verification",00_AI_OPERATING_SYSTEM\04_AGENT_EDITION_OS\02_MARKETING\MAS_MARKETING_INTELLIGENCE_OS_v1.md,None,2026-07-11
FR-19,MAS Offer Ladder Structure (Client + Agent),Offer,The two locked/candidate offer ladders governing every campaign entry point per engine,"Any new offer, funnel, or campaign entry decision",PA (free content) through PA2 (paid conversion),Cross-channel,"Engine selection (Client vs Agent - never blended); current offer rung","N/A (positioning spine, not a performance claim)","LOCKED (Agent engine, 2026-07-06) / CANDIDATE (Client engine - naming conflicts open)",00_AI_OPERATING_SYSTEM\00_COMMAND_CENTER\01_BUSINESS_POSITIONING.md,"CMP-20260710-LEGACYLAUNCH-OWNERS-001; CMP-2026xxxx-MARKETMAKER-AGENTS-001",2026-07-11
FR-20,10-Step Framework Selection Engine,Selection Method,"Decision sequence for choosing which framework to use on a given asset: objective, audience, awareness, medium, proof, trust, select, justify, reject alternatives, adapt",Any time a framework must be chosen for a new asset,N/A (meta-process; applies across all stages),Cross-channel,"Campaign objective; audience segment; awareness stage; medium; available proof; trust level needed","N/A (selection method, not a performance claim)","DRAFT - per ECOS build mandate (archived at 10_MARKETING_OS\99_ARCHIVE\ECOS_BUILD_MANDATE_2026-07-11.md)",See FRAMEWORK_SELECTION.md,None,2026-07-11
