priority,build_month,url_slug,page_type,search_intent,primary_keyword,secondary_questions,page_goal,cta,internal_links,proof_needed,video_needed,schema_types,funnel_connection
P0,1,/tools/cpf-accrued-interest-estimator,tool,commercial,CPF accrued interest calculator,How much CPF accrued interest do I owe? | What happens to CPF when I sell HDB? | CPF refund on sale?,Capture CPF-anxiety searchers with an estimator,Book a Position Map session,/guides/cpf-accrued-interest-when-selling;/guides/cpf-refund-selling-hdb;/second-property-ladder;/position-map-session,CPF 2.5% accrued interest [VERIFY + date-stamp],N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU high-intent - feeds Position Map (numbers-first)
P1,1,/tools/mop-timeline-checker,tool,commercial,HDB MOP calculator,When does my HDB MOP end? | Can I sell my HDB now? | How long is HDB MOP?,Capture MOP-timing searchers and connect to next-step planning,Book a Position Map session,/guides/should-i-sell-my-hdb-after-mop;/guides/hdb-mop-what-next;/second-property-ladder;/position-map-session,MOP 5-year rule [VERIFY + date-stamp],N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU - MOP demand into Policy Clock framing
P0,1,/guides/sell-hdb-buy-condo,guide,informational,sell HDB buy condo,How do I sell my HDB and buy a condo? | Should I sell first or buy first? | How much ABSD and CPF applies?,Rank for the top upgrade query and reframe through Exit Before Entry,Book a Position Map session,/tools/sell-first-or-buy-first-sequencer;/tools/absd-calculator;/exit-before-entry;/case-studies/hdb-to-condo-exit-first;/second-property-ladder,Case study proof [VERIFY],Y - Exit-Ready,Article;HowTo;FAQPage;BreadcrumbList,TOFU flagship demand page - bridges to category and Position Map
P0,1,/guides/hdb-upgrade-to-condo,guide,informational,HDB upgrade to condo,Can I upgrade from HDB to condo? | What is the cost to upgrade? | Do I pay ABSD if I sell my HDB?,"Capture the upgrade-intent phrase, reframe as sequenced climb",Book a Position Map session,/guides/sell-hdb-buy-condo;/tools/hdb-upgrade-affordability;/compare/hdb-vs-ec-upgrade-path;/second-property-ladder;/position-map-session,Upgrade case study [VERIFY],Y - Math Doesnt Lie,Article;HowTo;FAQPage;BreadcrumbList,TOFU flagship demand page - routes to affordability tool and session
P0,1,/guides/absd-second-property,guide,informational,ABSD second property Singapore,How much is ABSD on a second property? | Do citizens pay ABSD? | Can I avoid ABSD legally?,"Rank for ABSD demand, reframe cost as sequence decision",Book a Position Map session,/tools/absd-calculator;/guides/avoid-absd-legally;/exit-before-entry;/second-property-ladder;/position-map-session,ABSD rate example [VERIFY + date-stamp 2026],N,Article;FAQPage;BreadcrumbList,TOFU high-intent - captures ABSD demand into method
P1,1,/guides/should-i-sell-my-hdb-after-mop,guide,informational,should I sell my HDB after MOP,Should I sell my HDB after MOP? | Is it better to keep or sell after MOP? | What are my options after MOP?,Answer the post-MOP decision query and reframe as Position Map,Book a Position Map session,/tools/mop-timeline-checker;/guides/hdb-mop-what-next;/compare/rent-out-hdb-vs-sell;/second-property-ladder;/position-map-session,Post-MOP case [VERIFY],Y - Regret/Hindsight,Article;FAQPage;BreadcrumbList,TOFU high-intent - decision query into Position Map
P1,1,/guides/second-property-singapore,guide,informational,second property Singapore,Can I buy a second property in Singapore? | What are the costs? | How do I plan for a second property?,"Rank for core category-adjacent query, define the safe order",Book a Position Map session,/second-property-ladder;/guides/absd-second-property;/guides/sell-one-buy-two-singapore;/position-map-session,"Method IP, founder proof",N,Article;FAQPage;BreadcrumbList,TOFU - core query bridging demand to category
P1,1,/guides/cpf-accrued-interest-when-selling,guide,informational,CPF accrued interest when selling,What is CPF accrued interest? | How much do I pay back when selling? | Does accrued interest reduce my proceeds?,Capture CPF-selling anxiety and connect to Position Map numbers,Book a Position Map session,/tools/cpf-accrued-interest-estimator;/guides/cpf-refund-selling-hdb;/guides/sell-hdb-buy-condo;/position-map-session,CPF 2.5% [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU high-intent - CPF demand into numbers-first session
P1,1,/case-studies/hdb-to-condo-exit-first,case_study,informational,HDB to condo upgrade case study,How did they sell HDB and buy a condo safely? | What was the sequence? | What was the outcome?,Prove the exit-first upgrade path with a real story,Book a Position Map session,/exit-before-entry;/guides/sell-hdb-buy-condo;/position-map-session;/case-studies,Edward and Rose story [VERIFY figures],Y - Exit-Ready,Article;BreadcrumbList,MOFU proof - The Exit That Unlocked the Next Move
P1,1,/case-studies/two-name-path-decoupling,case_study,informational,decoupling case study Singapore,How did they use two names to avoid ABSD? | What is the two-name path? | Is decoupling worth it?,Prove the Two-Name Path and reframe decoupling as sequencing,Book a Position Map session,/guides/decoupling-property-singapore;/exit-before-entry;/position-map-session;/case-studies,MoK and Jine story [VERIFY figures],Y - Math Doesnt Lie,Article;BreadcrumbList,"MOFU proof - Two-Name Advantage, reframes decoupling"
P1,1,/case-studies/missed-window-warning,case_study,informational,property timing regret Singapore,What happens if you wait too long to move? | Cost of missing the window? | Real regret story?,Prove the cost of Exit-Later Buying (Missed Window),Book a Position Map session,/second-property-ladder;/guides/is-now-a-good-time-second-property;/position-map-session;/case-studies,Lynn walk-away story [VERIFY],Y - Missed-Launch Loop,Article;BreadcrumbList,MOFU proof - The Missed Window Warning
P1,1,/case-studies/one-stronger-asset-before-two,case_study,informational,upgrade before second property case study,Why buy one stronger property before two? | How did they reposition first? | What was the NAV outcome?,Prove the One Stronger Asset Before Two path,Book a Position Map session,/second-property-ladder;/compare/two-property-vs-one-bigger;/position-map-session;/case-studies,Win/Esther family story [VERIFY],N,Article;BreadcrumbList,MOFU proof - One Stronger Asset Before Two
P1,2,/guides/decoupling-property-singapore,guide,informational,decoupling property Singapore,What is decoupling? | Is decoupling still legal in 2026? | How much can decoupling save on ABSD?,"Capture decoupling demand, reframe as a sequenced Two-Name Path",Book a Position Map session,/case-studies/two-name-path-decoupling;/compare/decoupling-vs-sell-one-buy-two;/tools/absd-calculator;/second-property-ladder;/position-map-session,Decoupling cost/benefit [VERIFY + date-stamp],Y - Math Doesnt Lie,Article;FAQPage;BreadcrumbList,TOFU high-intent - decoupling demand corrected to sequence frame
P1,2,/guides/sell-one-buy-two-singapore,guide,informational,sell one buy two Singapore,What is sell one buy two? | Is it a good strategy? | What are the risks of sell one buy two?,"Capture the phrase, reframe from slogan to Move Sequence discipline",Book a Position Map session,/second-property-ladder;/exit-before-entry;/compare/decoupling-vs-sell-one-buy-two;/mistakes/buying-second-property;/position-map-session,"Reframe evidence, case proof [VERIFY]",Y - Herd Instinct,Article;FAQPage;BreadcrumbList,TOFU high-intent - corrects sell-one-buy-two hype into sequence
P1,2,/guides/ec-upgrade-to-condo,guide,informational,EC upgrade to condo,Can I upgrade from an EC to a condo? | When can I sell my EC? | Do I pay ABSD upgrading from EC?,"Capture EC-upgrader demand, reframe as sequenced climb",Book a Position Map session,/guides/hdb-upgrade-to-condo;/compare/hdb-vs-ec-upgrade-path;/tools/mop-timeline-checker;/second-property-ladder;/position-map-session,EC MOP rules [VERIFY + date-stamp],N,Article;HowTo;FAQPage;BreadcrumbList,TOFU - EC segment demand into method
P1,2,/guides/avoid-absd-legally,guide,informational,avoid ABSD legally Singapore,How can I legally reduce ABSD? | Is decoupling legal? | What are legitimate ABSD remissions?,"Capture avoid-ABSD demand, reframe to compliant Two-Name Path",Book a Position Map session,/guides/decoupling-property-singapore;/tools/absd-remission-checker;/exit-before-entry;/second-property-ladder;/position-map-session,Remission rules [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU high-intent - reframes avoidance into legitimate sequencing
P1,2,/guides/trade-up-condo-singapore,guide,informational,trade up condo Singapore,How do I trade up to a bigger condo? | Sell current condo and buy bigger? | Trade-up vs hold two?,"Capture trade-up demand, map to the Trade-Up Path",Book a Position Map session,/compare/hold-two-vs-trade-up;/case-studies/trade-up-path;/second-property-ladder;/position-map-session,Trade-up case [VERIFY],N,Article;HowTo;FAQPage;BreadcrumbList,TOFU - trade-up demand into Trade-Up Path
P1,2,/guides/single-buying-private-property,guide,informational,single buying private property Singapore,Can a single buy private property? | What are the rules for singles? | Can I buy under one name?,"Capture single-buyer demand, map to Single-Name Climb",Book a Position Map session,/guides/buying-private-property-under-one-name;/guides/single-property-climber-singapore;/second-property-ladder;/position-map-session,Single-buyer case [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - single-buyer segment into method
P2,2,/guides/hdb-mop-what-next,guide,informational,HDB MOP what next,"What can I do after HDB MOP? | Keep, sell, or upgrade after MOP? | How to plan my next move after MOP?","Answer post-MOP planning, route to Position Map",Book a Position Map session,/guides/should-i-sell-my-hdb-after-mop;/tools/mop-timeline-checker;/second-property-ladder;/position-map-session,Post-MOP options [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - MOP planning demand into Position Map
P2,2,/guides/how-much-can-i-borrow-second-property,guide,informational,TDSR second property loan,How much can I borrow for a second property? | What is TDSR? | How does an existing loan affect my next purchase?,"Capture loan-capacity demand, connect to Position Map numbers",Book a Position Map session,/guides/tdsr-explained;/tools/second-property-budget-planner;/second-property-ladder;/position-map-session,TDSR rules [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU - loan-capacity demand into numbers-first session
P2,2,/guides/cpf-refund-selling-hdb,guide,informational,CPF refund selling HDB,How much CPF do I refund when selling? | Do I get cash proceeds after CPF refund? | What is negative sale?,"Capture CPF-refund demand, connect to sale-proceeds clarity",Book a Position Map session,/tools/cpf-accrued-interest-estimator;/tools/sale-proceeds-calculator;/guides/cpf-accrued-interest-when-selling;/position-map-session,CPF refund mechanics [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - CPF-refund demand into proceeds tool and session
P2,2,/guides/timeline-sell-hdb-buy-condo,guide,informational,timeline sell HDB buy condo,How long does it take to sell HDB and buy a condo? | What is the transaction timeline? | Can I do it at the same time?,"Capture timing/logistics demand, reframe as sequenced plan",Book a Position Map session,/tools/sell-first-or-buy-first-sequencer;/guides/sell-hdb-buy-condo;/compare/sell-first-vs-buy-first;/position-map-session,Timeline example [VERIFY],N,Article;HowTo;FAQPage;BreadcrumbList,TOFU - timeline demand into sequencer and session
P1,2,/compare/new-launch-vs-resale,comparison,comparison,new launch vs resale condo,Is a new launch or resale better? | Which appreciates more? | New launch vs resale for upgraders?,"Capture the classic comparison, reframe around exit-readiness",Book a Position Map session,/exit-before-entry;/case-studies/new-launch-disqualification;/second-property-ladder;/position-map-session,URA price-index stat [VERIFY + date-stamp],Y - Exit-Ready,Article;FAQPage;BreadcrumbList,TOFU high-intent comparison - reframes to exit-ready selection
P1,2,/compare/sell-first-vs-buy-first,comparison,comparison,sell first vs buy first,Should I sell first or buy first? | Risks of buying first? | Risks of selling first?,"Rank for the sequence comparison, reframe as Move Sequence",Book a Position Map session,/tools/sell-first-or-buy-first-sequencer;/guides/sell-hdb-buy-condo;/second-property-ladder;/position-map-session,Sequence logic (method IP),N,Article;FAQPage;BreadcrumbList,TOFU high-intent comparison - into sequencer and session
P2,2,/compare/hold-two-vs-trade-up,comparison,comparison,hold two properties vs trade up,Should I hold two properties or trade up? | Which builds more NAV? | Which is lower risk?,Contrast the two climb paths in the method,Book a Position Map session,/guides/trade-up-condo-singapore;/case-studies/hold-two-path;/case-studies/trade-up-path;/second-property-ladder;/position-map-session,"Path comparison, case proof [VERIFY]",N,Article;FAQPage;BreadcrumbList,"MOFU - core method comparison, routes to relevant path case"
P2,2,/compare/hdb-vs-ec-upgrade-path,comparison,comparison,HDB vs EC upgrade path,Is upgrading from HDB or EC better? | Which has lower ABSD exposure? | Which resells better?,Compare the two starting positions on the ladder,Book a Position Map session,/guides/hdb-upgrade-to-condo;/guides/ec-upgrade-to-condo;/second-property-ladder;/position-map-session,Segment comparison [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - segment comparison into upgrade guides
P2,2,/compare/decoupling-vs-sell-one-buy-two,comparison,comparison,decoupling vs sell one buy two,Which is better: decoupling or sell one buy two? | Which saves more ABSD? | Which is safer?,"Compare the two popular routes, reframe both through sequencing",Book a Position Map session,/guides/decoupling-property-singapore;/guides/sell-one-buy-two-singapore;/exit-before-entry;/position-map-session,Route comparison [VERIFY],Y - Math Doesnt Lie,Article;FAQPage;BreadcrumbList,TOFU high-intent comparison - corrects both routes to sequence
P2,2,/compare/condo-vs-second-hdb,comparison,comparison,condo vs second HDB Singapore,Can I own a condo and keep my HDB? | Condo or second HDB for climbing? | Which gives more options?,Compare vehicle choices for the second step,Book a Position Map session,/guides/second-property-singapore;/second-property-ladder;/position-map-session,Vehicle comparison [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - vehicle comparison into category
P2,2,/mistakes/hdb-upgraders,mistakes,informational,HDB upgrader mistakes,What mistakes do HDB upgraders make? | How to avoid over-leveraging? | Common upgrade regrets?,"Capture mistake-search intent, tie to The One-Property Trap",Book a Position Map session,/second-property-ladder;/guides/hdb-upgrade-to-condo;/mistakes/over-leveraging-second-property;/position-map-session,Buyer-mistake evidence (EDMW) [VERIFY],Y - Regret/Hindsight,Article;FAQPage;BreadcrumbList,TOFU - mistake intent into upgrade guide and session
P2,2,/mistakes/buying-second-property,mistakes,informational,mistakes buying second property Singapore,What mistakes do second-property buyers make? | How to avoid ABSD surprises? | Why do people get stuck after one move?,"Capture mistake intent, tie to supporting villains",Book a Position Map session,/second-property-ladder;/exit-before-entry;/guides/second-property-singapore;/position-map-session,Buyer-mistake evidence [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - mistake intent into Exit Before Entry
P2,2,/mistakes/new-launch-buyers,mistakes,informational,new launch buying mistakes,What mistakes do new launch buyers make? | How to avoid a bad new launch? | Why do 90% of launches fail the exit test?,"Capture new-launch mistake intent, tie to disqualification",Book a Position Map session,/compare/new-launch-vs-resale;/case-studies/new-launch-disqualification;/exit-before-entry;/position-map-session,90% disqualification rate [VERIFY],Y - Herd Instinct,Article;FAQPage;BreadcrumbList,TOFU - links Legacy Launch theme into SPL method
P3,2,/mistakes/decoupling,mistakes,informational,decoupling mistakes Singapore,What are the risks of decoupling? | When does decoupling go wrong? | Hidden costs of decoupling?,"Capture decoupling-risk intent, reframe as sequencing discipline",Book a Position Map session,/guides/decoupling-property-singapore;/case-studies/two-name-path-decoupling;/position-map-session,Decoupling risk evidence [VERIFY],N,Article;FAQPage;BreadcrumbList,TOFU - decoupling-risk intent into Two-Name Path
P2,2,/tools/hdb-upgrade-affordability,tool,commercial,HDB upgrade affordability calculator,Can I afford to upgrade from HDB to condo? | How much condo can I afford? | What proceeds will I have?,Capture affordability demand for upgraders,Book a Position Map session,/guides/hdb-upgrade-to-condo;/tools/sale-proceeds-calculator;/second-property-ladder;/position-map-session,Affordability logic [VERIFY],N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU - affordability demand into upgrade guide and session
P3,2,/tools/absd-remission-checker,tool,commercial,ABSD remission checker,Am I eligible for ABSD remission? | Married couple ABSD remission? | How to claim ABSD refund?,Capture remission-eligibility demand,Book a Position Map session,/guides/avoid-absd-legally;/guides/absd-remission-married-couples;/tools/absd-calculator;/position-map-session,Remission rules [VERIFY + date-stamp],N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU - remission demand into compliant guidance
P2,2,/tools/sale-proceeds-calculator,tool,commercial,property sale proceeds calculator,How much will I get after selling? | Proceeds after CPF and loan? | Cash proceeds calculator?,"Capture proceeds demand, feed Position Map numbers",Book a Position Map session,/tools/cpf-accrued-interest-estimator;/guides/cpf-refund-selling-hdb;/second-property-ladder;/position-map-session,Proceeds logic [VERIFY],N,SoftwareApplication;WebApplication;BreadcrumbList,TOFU - proceeds demand into numbers-first session
P2,2,/case-studies/strategy-over-comfort,case_study,informational,property repositioning case study,Why choose strategy over staying comfortable? | How did they break the one-property trap? | What changed?,Prove Strategy Over Comfort category theme,Book a Position Map session,/second-property-ladder;/exit-before-entry;/position-map-session;/case-studies,Client story [VERIFY],Y - Regret/Hindsight,Article;BreadcrumbList,MOFU proof - Strategy Over Comfort
P2,2,/case-studies/repositioning-for-growth,case_study,informational,property repositioning for growth,How did repositioning grow their NAV? | What was the before and after? | Was it worth the move?,Prove Repositioning for Long-Term Growth theme,Book a Position Map session,/second-property-ladder;/compare/hold-two-vs-trade-up;/position-map-session;/case-studies,NAV movement [VERIFY],N,Article;BreadcrumbList,MOFU proof - Repositioning for Long-Term Growth
P2,2,/case-studies/exit-before-entry-in-action,case_study,informational,exit before entry case study,How does exit-first buying work in practice? | What did they research before buying? | What was the exit outcome?,Prove Exit Before Entry with a concrete story,Book a Position Map session,/exit-before-entry;/guides/how-to-choose-exit-ready-property;/position-map-session;/case-studies,Exit-first story [VERIFY],Y - Exit-Ready,Article;BreadcrumbList,MOFU proof - Exit Before Entry
P3,2,/case-studies/single-name-climb,case_study,informational,single name property climb Singapore,How did a single buyer climb the ladder? | What was their sequence? | Under one name?,Prove the single-buyer path,Book a Position Map session,/guides/single-buying-private-property;/guides/single-property-climber-singapore;/position-map-session;/case-studies,Single-buyer story [VERIFY],N,Article;BreadcrumbList,MOFU proof - single-name segment
P1,2,/guides/what-is-the-second-property-ladder,guide,informational,what is the second property ladder,What is the Second Property Ladder? | Who is it for? | How is it different from normal upgrading?,Define the category for informational searchers,Take the diagnostic / Book a Position Map session,/second-property-ladder;/guides/five-steps-second-property-ladder;/exit-before-entry;/position-map-session,Method IP,Y - Category explainer,Article;FAQPage;BreadcrumbList,"TOFU - category definition, feeds hub and diagnostic"
P2,2,/guides/five-steps-second-property-ladder,guide,informational,5 steps second property ladder,What are the 5 steps? | What is a Position Map? | What is a Move Sequence?,Explain the 5-step method in depth,Book a Position Map session,/second-property-ladder;/guides/what-is-a-position-map;/exit-before-entry;/position-map-session,Method IP,Y - Category explainer,Article;HowTo;FAQPage;BreadcrumbList,"MOFU - method depth, routes to Position Map session"
P2,2,/guides/what-is-a-position-map,guide,informational,what is a position map property,What is a Position Map? | What numbers does it include? | What do I leave with?,Explain Step 1 output and preview the session deliverable,Book a Position Map session,/position-map-session;/guides/five-steps-second-property-ladder;/second-property-ladder,Session deliverable preview,N,Article;FAQPage;BreadcrumbList,"MOFU - previews session output, high conversion assist"
P2,3,/guides/absd-rates-singapore-2026,guide,informational,ABSD rates Singapore 2026,"What are the current ABSD rates? | ABSD for citizens, PRs, foreigners? | When did ABSD last change?",Rank as the date-stamped ABSD reference [VERIFY],Book a Position Map session,/tools/absd-calculator;/guides/absd-second-property;/second-property-ladder;/position-map-session,ABSD rate table [VERIFY + date-stamp 2026],N,Article;FAQPage;BreadcrumbList,"TOFU regulatory - authoritative ABSD reference, update cadence"
P3,3,/guides/absd-remission-married-couples,guide,informational,ABSD remission married couples,Can married couples claim ABSD remission? | What is the refund timeline? | What are the conditions?,Answer remission-for-couples query [VERIFY],Book a Position Map session,/tools/absd-remission-checker;/guides/avoid-absd-legally;/second-property-ladder;/position-map-session,Remission conditions [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU regulatory - remission demand into compliant frame
P3,3,/guides/ssd-seller-stamp-duty,guide,informational,SSD seller stamp duty Singapore,What is SSD? | How long is the SSD holding period? | Did SSD change in 2025?,"Answer SSD query, tie to timing in Move Sequence [VERIFY]",Book a Position Map session,/second-property-ladder;/exit-before-entry;/guides/absd-second-property;/position-map-session,SSD 3-4 year rule [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU regulatory - SSD into timing discipline
P3,3,/guides/15-month-wait-out-rule,guide,informational,15 month wait out rule HDB,What is the 15-month wait-out rule? | Who does it affect? | Does it apply to upgraders?,Clarify the rule and confirm target audience is unaffected [VERIFY],Book a Position Map session,/guides/should-i-sell-my-hdb-after-mop;/second-property-ladder;/position-map-session,Wait-out rule scope [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU regulatory - clarifies non-applicability to Property Climbers
P3,3,/guides/tdsr-explained,guide,informational,TDSR explained Singapore,What is TDSR? | How is TDSR calculated? | How does TDSR limit my second property loan?,"Explain TDSR, connect to loan capacity in Position Map [VERIFY]",Book a Position Map session,/guides/how-much-can-i-borrow-second-property;/tools/second-property-budget-planner;/position-map-session,TDSR framework [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU regulatory - TDSR into numbers-first session
P2,3,/guides/cpf-accrued-interest-explained,guide,informational,CPF accrued interest explained,What is CPF accrued interest and why does it matter? | How is 2.5% compounded? | How does it affect my next move?,Deep explainer for CPF accrued interest [VERIFY],Book a Position Map session,/tools/cpf-accrued-interest-estimator;/guides/cpf-accrued-interest-when-selling;/second-property-ladder;/position-map-session,CPF 2.5% mechanics [VERIFY + date-stamp],N,Article;FAQPage;BreadcrumbList,TOFU - CPF explainer into estimator and session
