source_domain,source_path,destination_url,redirect_type,action,priority,precondition_checks,owner,status,notes
6figurepropertyprofits.com,(GSC property),n/a,n/a,verify_gsc,P0,none,SEO owner,todo,"Verify in Search Console; export backlinks + traffic; AUDIT for toxic/spam links (income-claim era). [VERIFY]"
6figurepropertyprofits.com,(backlinks),n/a,n/a,disavow_audit,P1,"Backlink export done",SEO owner,todo,"Disavow toxic links BEFORE forwarding equity. Do not forward a poisoned profile to the authority domain."
6figurepropertyprofits.com,/*,https://thereimethod.com/,301,redirect,P1,"GSC verified; toxic-link audit + disavow done [VERIFY]",SEO owner + registrar,todo,"Retire + catch-all 301. Income-claim name — never reuse in ads/social. Apex; force HTTPS; one hop."
www.6figurepropertyprofits.com,/*,https://thereimethod.com/,301,redirect,P1,"Same as apex",SEO owner + registrar,todo,"www -> authority, single hop."
6figurepropertyprofits.com,/<historical-path>,https://thereimethod.com/<closest-equivalent>,301,redirect_pathmap,P3,"Legitimate historical pages with equity exist [VERIFY]",SEO owner,todo,"Only if real pages exist; otherwise catch-all applies."
thereimethod.com,(SPF/DKIM/DMARC),n/a,n/a,email_auth,P1,"DNS access; sending platform (GHL/LeadConnector) keys",SEO/ops owner,todo,"Publish SPF (authorise GHL/ESP), DKIM, DMARC (p=none -> quarantine/reject). Single sending identity admin@thereimethod.com."
thereimethod.com,(GSC + platform),n/a,n/a,verify_live,P0,none,SEO owner,todo,"Confirm hub is live and serving homepage + category hub BEFORE any 301/canonical points at it. Platform decision (WordPress recommended) per doc 11."
singaporerealestateinsider.com,(MX/SPF),n/a,n/a,email_lockdown,P2,"301 live",SEO/ops owner,todo,"Set SPF -all (hard fail) or null MX on retired domain to prevent spoofing. No mailboxes."
6figurepropertyprofits.com,(MX/SPF),n/a,n/a,email_lockdown,P2,"301 live",SEO/ops owner,todo,"SPF -all / null MX on retired domain. No mailboxes."
familylegacy.com.sg,(domain),n/a,n/a,park,P3,"Registrar renewal",Registrar owner,todo,"Renew; point to noindex holding page or registrar park with ads OFF. Do NOT build or link from authority. Only reserve for a future campaign."
familylegacy.com.sg,/,,noindex,set_noindex,P3,none,Registrar owner,todo,"noindex,nofollow on any holding page served."
app.theintellia.com,calendar widget 34KkdVJncaYiuAOjE0FP,n/a,noindex,embed_only,P1,none,GHL admin,todo,"Iframe embed only inside noindexed /schedule-call. Never link/expose standalone whitelabel widget URL as a landing page."
api.leadconnectorhq.com,form/booking widget URLs,n/a,noindex,embed_only,P1,none,GHL admin,todo,"LeadConnector widget backend. Iframe embed only; no standalone linking; no sitemap entry."
