"week","month","theme_pillar","long_form_title","article_slug","shorts_angles","carousel_topic","email_subject","gbp_post","funnel_tiein","case_study_ref","notes"
"11","Sep 2026","The One-Property Trap","The Just-Buy-Second Myth: Why Buying Any Second Property Isn't the Same as Climbing","/mistakes/just-buy-second-property-myth","Buying any second property isn't climbing; The myth that costs families options; Second property does not equal progress","Just-Buy-Second Myth carousel","A second property isn't automatically progress","Buying a second property? That alone isn't a plan.","Position Map session","-","-"
"12","Sep 2026","Exit Before Entry","New Launch Disqualification: The Questions That Rule Out 9 in 10 New Launches Before You Compare Layouts","/mistakes/new-launch-disqualification-questions","The questions that rule out 9 in 10 new launches; Why we say no to most new launches; Disqualification before comparison","Disqualification checklist carousel [VERIFY 90% stat]","Why we rule out 9 in 10 new launches [VERIFY]","Considering a new launch? Ask these questions first.","Legacy Launch V2 (New Launch Strategy Call)","-","Bridges to Legacy Launch campaign stream; verify the 90% disqualification stat; may use an existing reel script (New Launch Ladder vocabulary, unedited) as filler short per the Section 5 bridge rule."
"13","Oct 2026","Buyer Mistakes","Choosing a New Launch on Layout Alone Skips the Exit Buyer Question","/mistakes/new-launch-layout-only-mistake","Choosing a launch by layout alone; The exit buyer question new launch buyers skip; Layout first, exit never","New launch mistake carousel","Layout is not a selection strategy","New launch season is here — don't choose on layout alone.","Legacy Launch V2 (New Launch Strategy Call)","-","Q4 new-launch season commentary."
"14","Oct 2026","Exit Before Entry","Rentability Before Purchase: Why 'Can I Rent This Out' Should Come Before 'Can I Afford This'","/guides/rentability-before-purchase","Ask this before you ask if you can afford it; Rentability before purchase, explained; The rental test every launch should pass","Rentability checklist carousel","Can you rent it out? Ask before you buy","The question to ask before you buy: can you rent it out?","Position Map session","-","-"
"15","Oct 2026","Buyer Mistakes","Why Some Families Buy Two Properties and Still End Up With Fewer Options","/mistakes/two-properties-fewer-options","Two properties, still stuck; Why more doors isn't the same as more options; The ladder is NAV, not door-count","NAV-not-door-count carousel","Two properties. Fewer options. Here's why.","More properties doesn't always mean more options. Here's why.","Position Map session","-","Reinforces the 'ladder is NAV, not door-count' reframe."
"16","Oct 2026","Exit Before Entry","Compare: Exit-First Planning vs Entry-First Buying for Singapore's Second Property Move","/compare/exit-first-vs-entry-first-buying","Exit-first vs entry-first buying; Which question comes first for you; The compare every launch buyer needs","Exit-first vs entry-first comparison carousel","Exit-first or entry-first — which are you doing?","Exit-first or entry-first? The order matters.","Legacy Launch V2 (New Launch Strategy Call)","-","Month-end new-launch-season wrap."
"17","Nov 2026","The 5 Steps","Direction Statement: Combined Purchase or Split-Two — How Progressing Families Choose Their Route","/guides/direction-statement-combined-vs-split","Combined purchase or split-two?; How to choose your Direction Statement; One roof or two — the real question","Direction Statement decision carousel","Combined or split-two: how families decide","New BTO launch this month — plus, how to set your Direction Statement. [VERIFY BTO date]","Position Map session","-","Verify HDB BTO Nov 2026 launch date via HDB InfoWEB before publishing this GBP post."
"18","Nov 2026","Case Studies","Case Study: Why This Family Chose the Hold-Two Path Over Trade-Up","/case-studies/family-chose-hold-two-path","Why this family chose Hold-Two over Trade-Up; Hold-Two Path in their own words; The route they didn't take, and why","Hold-Two vs Trade-Up case study carousel","Why they chose Hold-Two over Trade-Up [VERIFY]","New case study: Hold-Two Path over Trade-Up — here's why.","Position Map session","Win/Esther & Family [VERIFY]","Verify names/figures."
"19","Nov 2026","The 5 Steps","Trade-Up Path vs Hold-Two Path: Which Second Property Move Fits Your Numbers","/compare/trade-up-path-vs-hold-two-path","Trade-Up Path vs Hold-Two Path, explained; Which path fits your numbers; Two ways to climb, one right one for you","Trade-Up vs Hold-Two comparison carousel","Trade-Up or Hold-Two — which is your path?","Trade-Up Path or Hold-Two Path — which fits your numbers?","Position Map session","-","Pairs with Week 18's case study."
"20","Nov 2026","The 5 Steps","Climb Cadence: How Often Should a Property Climber Review Their Next Move","/guides/climb-cadence-annual-review","How often should you review your next move; Climb Cadence explained; The annual check most Property Climbers skip","Climb Cadence review carousel","When did you last review your next move?","Year-end is coming — when did you last review your next move?","Climb Review (annual)","-","Opens the year-end planning arc."
"21","Nov 2026","Case Studies","Case Study: From Trapped Equity to a Confirmed Next Move in Nine Months","/case-studies/trapped-equity-to-next-move","From trapped equity to a confirmed next move; Nine months, one sequence; What changed once they had a Move Sequence","Trapped-equity-to-next-move carousel","Trapped equity to a confirmed next move in nine months [VERIFY]","New case study: nine months from trapped equity to a confirmed plan.","Position Map session","Lynn [VERIFY]","Verify figures/timeline; month-end."
"22","Dec 2026","Founder Proof","Our Own Net Asset Value Climb: The Numbers Behind the Method","/proof/nav-climb-numbers-behind-method","Our own net asset value climb, the numbers; What our portfolio actually did since 2019; The math behind the method","Founder NAV climb carousel [VERIFY figures]","The numbers behind our own climb [VERIFY]","Year-end transparency: our own numbers, shared.","Position Map session","Founder journey [VERIFY]","Highest-scrutiny row of the year — verify every $ figure against records before publish."
"23","Dec 2026","The One-Property Trap","How Much of Your Net Asset Value Is Actually Locked Inside One Property","/guides/trapped-equity-calculator-singapore","How much NAV is locked in your one property; The trapped equity self-check; Is your property still working for you","Trapped equity self-check carousel","How much of your net asset value is trapped?","Year-end self-check: how much NAV is trapped in your one property?","Position Map session","-","-"
"24","Dec 2026","The One-Property Trap","Stuck Asset Warning Signs: Five Questions That Reveal If Your Property Has Stopped Working For You","/guides/stuck-asset-warning-signs","5 signs your property has become a stuck asset; Stuck asset warning signs; When comfort becomes a cost","Stuck asset warning signs carousel","Five warning signs your property has stopped working for you","Five signs your property has become a stuck asset.","Position Map session","-","-"
"25","Dec 2026","Founder Proof","Why We Only Take Clients We'd Give the Same Sequence We Used Ourselves","/proof/founder-standard-for-clients","Why we only recommend what we'd do ourselves; Our standard for taking on a family; We built it before we advised it — the standard","Founder standard carousel","New Year, Next Move — the standard we hold ourselves to","New Year, Next Move — here's our standard for every family we take on.","Position Map session / Climb Review","-","Bridges into the January CNY arc."
"26","Jan 2027","The One-Property Trap","The One-Property Trap: When Staying Comfortable Stops Your Net Asset Value From Climbing","/guides/one-property-trap-net-asset-value","The One-Property Trap in 60 seconds; When comfortable becomes stuck; Is your one property still climbing?","One-Property Trap manifesto carousel","The One-Property Trap, explained","New Year property planning starts here.","Position Map session","-","New Year planning hook."
"27","Jan 2027","The One-Property Trap","CNY Table Talk: How to Answer 'When Are You Buying Your Second Property' Without a Plan","/guides/cny-second-property-conversation","How to answer the CNY second-property question; The CNY question every Property Climber gets asked; What to say when relatives ask about your next move","CNY family conversation carousel","What to say when the CNY property question comes up","CNY is coming — here's what to say when the property question comes up.","Position Map session","-","CNY 2027 falls in this window [VERIFY exact date]; keep tone warm and family-forward."
"28","Jan 2027","Buyer Mistakes","The Five Mistakes That Keep a Second Property From Growing Your Net Asset Value","/mistakes/five-second-property-mistakes","The 5 mistakes that stall your net asset value; Mistake #1: buying on comfort, not sequence; What most families get wrong on their second move","Five mistakes carousel","The five mistakes we see most before a second property","The five mistakes we see most, before a family's second move.","Position Map session","-","-"
"29","Jan 2027","The One-Property Trap","HDB, EC or Private — Why the Label Matters Less Than the Order You Move In","/compare/hdb-ec-private-order-not-label","HDB, EC or Private — does the label matter?; Why the order matters more than the type; The compare every first-time second-mover needs","HDB/EC/Private order comparison carousel","HDB, EC, Private — the label isn't the decision","HDB, EC or Private — the order matters more than the label.","Position Map session","-","CNY week wrap; keep tone warm per brand aesthetic."
"30","Feb 2027","Case Studies","Case Study: Repositioning for Long-Term Family Options, Not Just Yield","/case-studies/repositioning-long-term-family-options","Repositioning for family options, not just yield; What long-term actually means for this family; The move that wasn't about the money","Repositioning case study carousel","Repositioning for family options, not just yield [VERIFY]","New case study: repositioning for family options, not just yield.","Position Map session","Edward & Rose [VERIFY]","Verify figures; CNY family-case framing."
"31","Feb 2027","Founder Proof","Cindior Ho on the Two-Name Path: Why We Structured Our Family's Properties This Way","/proof/cindior-ho-two-name-path","Cindior on why two names changed our numbers; The Two-Name Path explained; Why ownership structure is a Step 2 decision","Two-Name Path carousel","Why two names on title changed our next move","Cindior Ho on the ownership structure decision behind our own portfolio.","Position Map session","Founder journey [VERIFY]","Priority week to build Cindior's on-camera public presence per D6 (open item) — confirm her readiness before shoot."
"32","Feb 2027","Case Studies","Case Study: The Two-Name Path That Changed a Couple's Loan Capacity","/case-studies/two-name-path-loan-capacity","The two-name path that changed their loan capacity; How ownership structure unlocked their next move; Name-Count Advantage in practice","Two-name-path loan capacity carousel","How two names on title changed their loan capacity [VERIFY]","New BTO launch this month, plus a case study on ownership structure. [VERIFY BTO date]","Position Map session","MoK & Jine [VERIFY]","Verify HDB BTO Feb 2027 launch date and case figures before publish."
"33","Feb 2027","The 5 Steps","Name-Count Advantage: How Single Name vs Two-Name Ownership Changes Your Next Move Options","/compare/single-name-vs-two-name-ownership","Single name vs two names — what changes; Name-Count Advantage, explained; The ownership decision most families skip","Single vs two-name ownership comparison carousel","Single name or two names — what actually changes","Single name or two names on title — what actually changes.","Position Map session","-","Month-end."
"34","Mar 2027","Exit Before Entry","Selection Research: The Four Numbers to Check on a Property Before You Ever Reserve It","/guides/selection-research-four-numbers","The 4 numbers to check before you reserve anything; Selection Research, explained; What we check before any launch purchase","Selection Research checklist carousel","Four numbers to check before you reserve anything","New launch season — four numbers to check before you reserve anything.","Legacy Launch V2 (New Launch Strategy Call)","-","Q1 new-launch season."
"35","Mar 2027","Buyer Mistakes","Buying a Second Property Before Mapping the Exit of the First","/mistakes/second-property-before-exit-mapped","Buying the second property before mapping the first exit; The sequencing mistake we see most; Exit the first before you enter the second","Sequencing mistake carousel","Have you mapped your exit before your next entry?","Have you mapped your exit before your next move?","Position Map session","-","-"
"36","Mar 2027","Exit Before Entry","Exit Buyer Profile: Who Actually Buys Your Property Back in 5-10 Years","/guides/exit-buyer-profile-singapore","Who actually buys your property back in 10 years; Exit Buyer Profile, explained; The buyer you're planning for before you've even bought","Exit Buyer Profile carousel","Who is your exit buyer, really?","Who buys your property back in 10 years? Plan for them now.","Legacy Launch V2 (New Launch Strategy Call)","-","-"
"37","Mar 2027","Buyer Mistakes","The Timing Mistake: Buying Right Before a Policy Clock Change Resets Your Options","/mistakes/timing-policy-clock-mistake","The timing mistake that resets your options; Buying right before a policy change; Watch the Policy Clock before you commit","Policy Clock timing mistake carousel [VERIFY]","The timing mistake that resets your next move [VERIFY]","New launch season continues — watch the Policy Clock before you commit.","Position Map session","-","Verify any pending 2027 cooling-measure changes before publish."
"38","Mar 2027","Buyer Mistakes","The ABSD Mistake: Buying Under the Wrong Name Structure First","/mistakes/absd-wrong-name-structure","The ABSD mistake: wrong name, wrong structure; Why name structure comes before you sign anything; ABSD planning starts at Step 2","ABSD name-structure mistake carousel [VERIFY current rates]","The ABSD mistake that starts with the wrong name on the option [VERIFY]","Q1 new-launch season wrap.","Position Map session","-","Verify current ABSD rates/rules before publish."
"39","Apr 2027","The One-Property Trap","Downside Buffer: How Much Room You Need Before a Second Property Move Is Considered Safe Motion","/guides/downside-buffer-second-property","How much buffer do you need before a move is safe; Downside Buffer, explained; Safe Motion starts with a number, not a feeling","Downside Buffer carousel","How much room do you need before your next move?","Cooling measures, four years since the last major hike — what's changed. [VERIFY current rates vs Apr 2023 baseline]","Position Map session","-","Annual ABSD-hike anniversary content; verify current rates against the Apr 2023 baseline."
"40","Apr 2027","Buyer Mistakes","Why 'We'll Decide Later' Is the Most Expensive Property Decision a Family Makes","/mistakes/decide-later-property-mistake","Why 'we'll decide later' is the costliest decision; The cost of no decision; Deciding later is still a decision","Decide-later mistake carousel","'We'll decide later' is already a decision","'We'll decide later' is already a decision. Here's the cost.","Position Map session","-","-"
"41","Apr 2027","The One-Property Trap","Buy-To-Stay Thinking vs Buy-to-Climb Thinking: Which One Is Quietly Costing You Options","/compare/buy-to-stay-vs-buy-to-climb","Buy-to-stay vs buy-to-climb thinking; Which mindset is running your next move; The compare that reveals your real plan","Buy-to-stay vs buy-to-climb carousel","Buy-to-stay or buy-to-climb — which are you?","Buy-to-stay or buy-to-climb — which mindset is running your plan?","Position Map session","-","-"
"42","Apr 2027","Case Studies","Case Study: The Missed Window Warning That Saved a Family From a Stuck Asset","/case-studies/missed-window-warning-saved","The missed window warning that changed their plan; What almost became a stuck asset; Why we flagged the window before it closed","Missed Window case study carousel","The missed window warning that saved their next move [VERIFY]","New case study: the missed window warning that changed everything.","Position Map session","Lynn [VERIFY]","Verify figures/details; month-end."
"43","May 2027","The 5 Steps","Order Before Offer: Why Sequencing Comes Before Any Purchase Offer","/guides/order-before-offer-property","Order before offer, explained; Why sequencing comes before any offer; The step before you ever make an offer","Order Before Offer carousel","Order before offer: the step before any purchase","New BTO launch this month — plus, why order comes before offer. [VERIFY BTO date]","Position Map session","-","Verify HDB BTO May 2027 launch date before publishing this GBP post."
"44","May 2027","The 5 Steps","TDSR, IPA and Loan Tenure: What to Map Before You Set a Direction","/guides/tdsr-ipa-loan-tenure-position-map","What to map before you set a Direction Statement; TDSR, IPA and loan tenure in 60 seconds; The numbers behind your Position Map","Position Map inputs carousel","The numbers to map before you choose a direction","The numbers to map before you choose your Direction Statement.","Position Map session","-","-"
"45","May 2027","The 5 Steps","Which Step of The Second Property Ladder Are You Actually On","/guides/which-step-second-property-ladder-quiz","Which step of the ladder are you on?; Six steps, where do you sit?; Take the climb check","6-step ladder self-check carousel","Which step of The Second Property Ladder are you on?","Take the climb check — which step are you on?","Which Step Are You On diagnostic (if live) else Position Map session","-","Dependency: swap funnel_tiein to Position Map session if the diagnostic is not yet built by this week."
"46","May 2027","Case Studies","Case Study: The Selection Research That Ruled Out Three Launches Before the Right One","/case-studies/selection-research-ruled-out-launches","The launches we ruled out before the right one; Three disqualified, one confirmed; What Selection Research actually rules out","Selection Research case study carousel","The three launches we ruled out before the right one [VERIFY]","New case study: three launches ruled out before the right one.","Legacy Launch V2 (New Launch Strategy Call)","Win/Esther & Family [VERIFY]","Verify figures."
"47","May 2027","Case Studies","Case Study: The Family That Mapped Their Position Before Touching a Single Showflat","/case-studies/mapped-position-before-showflat","They mapped their position before any showflat; Numbers first, showflat second; Why we start with the Position Map, not the site visit","Position-before-showflat carousel","They had their numbers before their first showflat visit [VERIFY]","New case study: numbers before the first showflat visit.","Position Map session","Edward & Rose [VERIFY]","Verify figures; month-end."
"48","Jun 2027","Founder Proof","The Tre Ver to Parc Clematis Sequence: What We'd Do Differently Today","/proof/tre-ver-parc-clematis-sequence","What we'd do differently in our own sequence; Tre Ver to Parc Clematis, the honest version; Hindsight on our own Move Sequence","Honest-hindsight carousel [VERIFY figures]","What we'd do differently in our own climb [VERIFY]","Mid-year: what we'd do differently in our own property climb.","Position Map session","Founder journey [VERIFY]","Verify all figures before publish."
"49","Jun 2027","Founder Proof","Why We Map Our Own Position Before Every Property Move We Make","/proof/founders-own-position-map","We map our own numbers before every move, here's why; Founders following their own method; Position Map isn't just for clients","Founders-practice-what-they-teach carousel","We map our own position before every move too","We map our own position before every move — here's why.","Position Map session","-","School-holiday family decision-making angle."
"50","Jun 2027","The One-Property Trap","What Happens to Family Options When You Never Make a Second Move","/guides/family-options-second-property","What happens to family options when you never move; Options, not just ownership; The real cost of standing still","Family Options carousel","What 'more options' actually means for your family","What 'more options' actually means for your family.","Position Map session","-","School holidays — family angle continues."
"51","Jun 2027","Founder Proof","What 600+ Videos Taught Us About the Questions Property Climbers Actually Ask","/proof/600-videos-property-climber-questions","What 600+ videos taught us about Property Climbers [VERIFY count]; The most-asked question across 600 videos [VERIFY count]; Six hundred videos, one recurring question [VERIFY count]","Back-catalogue insights carousel","What 600+ videos taught us about your next move [VERIFY]","What 600+ videos taught us about the questions you're actually asking.","Position Map session","-","Verify actual video count via YouTube Studio before publish; showcase week for the back-catalogue mining workstream (Section 4 of the SOP)."
"52","Jul 2027","The 5 Steps","Move Sequence: Why the Order of Your Next Property Moves Matters More Than the Property Itself","/guides/move-sequence-second-property-ladder","One year into the climb, what we've learned; Move Sequence: the step we own; Why order is still the product, one year later","1-year engine anniversary recap carousel","One year into The Second Property Ladder content engine","One year of The Second Property Ladder content — thank you for climbing with us.","Position Map session / Climb Review","-","Engine anniversary — review analytics (Phase 12 measurement system) and refresh the next 12-month calendar."
